Release Year,John Siracusa's Rating on Letterboxd,
1994,2.5,2.52777777777778
1994,0,
1994,0,
1994,3.5,
1994,0,
1994,4,
1994,4,
1994,3.5,
1994,5,
1994,3.5,
1994,3,
1994,4.5,
1994,4.5,
1994,4.5,
1994,0,
1994,3,
1994,0,
1994,0,
1993,0,2.03571428571429
1993,0,
1993,4.5,
1993,3.5,
1993,0,
1993,4.5,
1993,4,
1993,0,
1993,4,
1993,0,
1993,0,
1993,0,
1993,4,
1993,4,
1992,3,2
1992,4,
1992,0,
1992,0,
1992,0,
1992,3.5,
1992,3,
1992,4,
1992,2,
1992,4,
1992,3,
1992,0,
1992,0,
1992,3.5,
1992,0,
1992,3.5,
1992,0,
1992,3.5,
1992,0,
1992,4.5,
1991,2.5,
1991,2,
1991,4,
1991,0,
1991,0,
1992,0,
1991,0,1.85
1991,0,
1991,3.5,
1991,4,
1991,4,
1991,3,
1991,0,
1991,0,
1991,0,
1991,4,
1990,2.5,2.07142857142857
1990,0,
1990,4,
1990,3,
1990,2,
1990,0,
1990,4,
1990,0,
1990,0,
1990,5,
1990,3.5,
1990,0,
1990,0,
1990,0,
1990,3,
1990,0,
1990,3,
1990,2.5,
1990,3,
1990,4,
1990,4,
1989,2,2.07407407407407
1989,0,
1989,3,
1989,3.5,
1989,0,
1989,3,
1989,0,
1989,2.5,
1989,3.5,
1989,4,
1989,5,
1989,5,
1989,2.5,
1989,0,
1989,0,
1989,0,
1989,0,
1989,4,
1989,0,
1989,3.5,
1989,4.5,
1989,3.5,
1989,0,
1989,4,
1989,2.5,
1989,0,
1989,0,
1988,0,2.52380952380952
1988,3.5,
1988,3.5,
1988,0,
1988,0,
1988,3,
1988,3.5,
1988,0,
1988,2.5,
1988,3.5,
1988,4.5,
1988,4.5,
1988,4,
1988,0,
1988,0,
1988,3,
1988,2.5,
1988,4.5,
1988,5,
1988,3,
1988,2.5,
1987,0,2
1987,0,
1987,0,
1987,4,
1987,0,
1987,5,
1987,0,
1987,2.5,
1987,0,
1987,0,
1987,3.5,
1987,3.5,
1987,0,
1987,3.5,
1987,3.5,
1987,0,
1987,4.5,
1987,4.5,
1987,3,
1987,3.5,
1987,3.5,
1987,4,
1986,0,2.30434782608696
1986,0,
1986,0,
1986,3.5,
1986,3,
1986,4,
1986,0,
1986,3.5,
1986,0,
1986,0,
1986,4.5,
1986,4.5,
1986,0,
1986,3,
1986,4.5,
1986,3.5,
1986,0,
1986,5,
1986,3.5,
1986,0,
1986,3.5,
1986,3.5,
1986,3.5,
1985,3,2.1875
1985,0,
1985,0,
1985,4.5,
1985,0,
1985,3,
1985,2.5,
1985,0,
1985,3,
1985,5,
1985,3.5,
1985,3,
1985,0,
1985,3.5,
1985,0,
1985,4,
1984,0,2.90909090909091
1985,3,
1984,3.5,
1984,3.5,
1984,3.5,
1984,4.5,
1984,0,
1984,4,
1984,3,
1984,0,
1984,3.5,
1984,0,
1984,3,
1984,3,
1984,4.5,
1984,3.5,
1984,3.5,
1984,3.5,
1984,4,
1984,5,
1984,2.5,
1984,3,
1983,4.5,2.34615384615385
1983,4,
1983,0,
1983,3,
1983,3,
1983,3.5,
1983,0,
1983,4.5,
1983,4.5,
1983,0,
1983,0,
1983,3.5,
1983,0,
1982,0,1.84615384615385
1982,2,
1982,0,
1982,1.5,
1982,4.5,
1982,3.5,
1982,4,
